variant,request_id,chosen_gpu,top1_correct,regret_ms,spearman,lambda_used
guardrail_unclipped,49,5,0,3.8165930000000117,0.8666666666666667,51200.0
guardrail_unclipped,51,5,0,0.3193340000000262,0.16666666666666669,51200.0
guardrail_unclipped,67,7,1,0.0,0.5666666666666667,51200.0
guardrail_unclipped,82,6,0,226.05935899999997,0.33333333333333337,51200.0
guardrail_unclipped,84,7,0,16.065274000000045,0.13333333333333333,6400.0
guardrail_unclipped,90,5,1,0.0,0.7166666666666667,51200.0
guardrail_unclipped,154,1,0,189.49389900000006,0.016666666666666666,51200.0
guardrail_unclipped,156,6,1,0.0,0.3,51200.0
guardrail_unclipped,161,2,0,1.34700399999997,0.6333333333333333,51200.0
guardrail_unclipped,165,7,0,10.02788600000008,0.7666666666666667,51200.0
guardrail_unclipped,173,2,1,0.0,0.26666666666666666,51200.0
guardrail_unclipped,175,2,0,0.18702700000005734,0.4666666666666666,51200.0
guardrail_unclipped,197,9,1,0.0,0.26666666666666666,51200.0
guardrail_unclipped,203,9,1,0.0,0.5952380952380953,51200.0
guardrail_unclipped,205,9,0,7.183597000000077,0.6833333333333333,51200.0
guardrail_unclipped,263,0,1,0.0,0.5166666666666667,51200.0
guardrail_unclipped,265,2,1,0.0,0.6333333333333333,51200.0
guardrail_unclipped,267,2,1,0.0,0.45,51200.0
