condition,input_tokens,request_rate_rps,reuse_ratio,seed,requests,last_arrival_ns,workload
input4000_rate5p0_reuse50_seed2,4000,5.0,0.5,2,300,58245946088,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate5p0_reuse50_seed2.jsonl
input4000_rate5p0_reuse50_seed3,4000,5.0,0.5,3,300,58303424450,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate5p0_reuse50_seed3.jsonl
input6000_rate2p5_reuse00_seed1,6000,2.5,0.0,1,300,114819899975,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate2p5_reuse00_seed1.jsonl
input6000_rate2p5_reuse00_seed2,6000,2.5,0.0,2,300,114445197105,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate2p5_reuse00_seed2.jsonl
input6000_rate2p5_reuse00_seed3,6000,2.5,0.0,3,300,127868888444,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate2p5_reuse00_seed3.jsonl
input6000_rate2p5_reuse50_seed1,6000,2.5,0.5,1,300,114819899975,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate2p5_reuse50_seed1.jsonl
input6000_rate2p5_reuse50_seed2,6000,2.5,0.5,2,300,114445197105,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate2p5_reuse50_seed2.jsonl
input6000_rate2p5_reuse50_seed3,6000,2.5,0.5,3,300,127868888444,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate2p5_reuse50_seed3.jsonl
input6000_rate3p33_reuse00_seed1,6000,3.33,0.0,1,300,89966499322,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate3p33_reuse00_seed1.jsonl
input6000_rate3p33_reuse00_seed2,6000,3.33,0.0,2,300,85881073178,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate3p33_reuse00_seed2.jsonl
input6000_rate3p33_reuse00_seed3,6000,3.33,0.0,3,300,96014640014,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate3p33_reuse00_seed3.jsonl
input6000_rate3p33_reuse50_seed1,6000,3.33,0.5,1,300,89966499322,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate3p33_reuse50_seed1.jsonl
input6000_rate3p33_reuse50_seed2,6000,3.33,0.5,2,300,85881073178,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate3p33_reuse50_seed2.jsonl
input6000_rate3p33_reuse50_seed3,6000,3.33,0.5,3,300,96014640014,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate3p33_reuse50_seed3.jsonl
input6000_rate5p0_reuse00_seed1,6000,5.0,0.0,1,300,63183378708,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate5p0_reuse00_seed1.jsonl
input6000_rate5p0_reuse00_seed2,6000,5.0,0.0,2,300,56813482332,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate5p0_reuse00_seed2.jsonl
input6000_rate5p0_reuse00_seed3,6000,5.0,0.0,3,300,59883351404,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate5p0_reuse00_seed3.jsonl
input6000_rate5p0_reuse50_seed1,6000,5.0,0.5,1,300,63183378708,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate5p0_reuse50_seed1.jsonl
input6000_rate5p0_reuse50_seed2,6000,5.0,0.5,2,300,56813482332,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate5p0_reuse50_seed2.jsonl
input6000_rate5p0_reuse50_seed3,6000,5.0,0.5,3,300,59883351404,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input6000_rate5p0_reuse50_seed3.jsonl
input8000_rate2p5_reuse00_seed1,8000,2.5,0.0,1,300,112456528891,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate2p5_reuse00_seed1.jsonl
input8000_rate2p5_reuse00_seed2,8000,2.5,0.0,2,300,115539266419,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate2p5_reuse00_seed2.jsonl
input8000_rate2p5_reuse00_seed3,8000,2.5,0.0,3,300,123884303141,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate2p5_reuse00_seed3.jsonl
input8000_rate2p5_reuse50_seed1,8000,2.5,0.5,1,300,112456528891,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate2p5_reuse50_seed1.jsonl
input8000_rate2p5_reuse50_seed2,8000,2.5,0.5,2,300,115539266419,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate2p5_reuse50_seed2.jsonl
input8000_rate2p5_reuse50_seed3,8000,2.5,0.5,3,300,123884303141,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate2p5_reuse50_seed3.jsonl
input8000_rate3p33_reuse00_seed1,8000,3.33,0.0,1,300,80354953086,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate3p33_reuse00_seed1.jsonl
input8000_rate3p33_reuse00_seed2,8000,3.33,0.0,2,300,102354869584,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate3p33_reuse00_seed2.jsonl
input8000_rate3p33_reuse00_seed3,8000,3.33,0.0,3,300,92955600725,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate3p33_reuse00_seed3.jsonl
input8000_rate3p33_reuse50_seed1,8000,3.33,0.5,1,300,80354953086,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate3p33_reuse50_seed1.jsonl
input8000_rate3p33_reuse50_seed2,8000,3.33,0.5,2,300,102354869584,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate3p33_reuse50_seed2.jsonl
input8000_rate3p33_reuse50_seed3,8000,3.33,0.5,3,300,92955600725,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate3p33_reuse50_seed3.jsonl
input8000_rate5p0_reuse00_seed1,8000,5.0,0.0,1,300,59568337986,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate5p0_reuse00_seed1.jsonl
input8000_rate5p0_reuse00_seed2,8000,5.0,0.0,2,300,62112099077,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate5p0_reuse00_seed2.jsonl
input8000_rate5p0_reuse00_seed3,8000,5.0,0.0,3,300,63054207121,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate5p0_reuse00_seed3.jsonl
input8000_rate5p0_reuse50_seed1,8000,5.0,0.5,1,300,59568337986,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate5p0_reuse50_seed1.jsonl
input8000_rate5p0_reuse50_seed2,8000,5.0,0.5,2,300,62112099077,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate5p0_reuse50_seed2.jsonl
input8000_rate5p0_reuse50_seed3,8000,5.0,0.5,3,300,63054207121,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input8000_rate5p0_reuse50_seed3.jsonl
